SiteID,SiteType,SiteName,Node,ESU_DPS,MPG,POP_NAME,TRT
UTR,INT,Upper Tucannon River,UTR,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Tucannon River,SNTUC
VC1,INT,"Valley Creek, Upstream Site",VC1,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Valley Creek,SRVAL
VC2,INT,"Valley Creek, Downstream Site",VC2,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Valley Creek,SRVAL
WEB,INT,Webb Creek,WEBA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
WEB,INT,Webb Creek,WEBB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
WEN,INT,Wenaha River Mouth,WENA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Wenaha River,GRWEN
WEN,INT,Wenaha River Mouth,WENB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Wenaha River,GRWEN
WPC,INT,"Wimpey Creek, Lemhi R. Basin",WPCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
WPC,INT,"Wimpey Creek, Lemhi R. Basin",WPCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
WR1,INT,Wallowa River at river km 14,WR1,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,NA,NA
WR2,INT,Wallowa River at rkm 32,WR2A0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Lostine River,GRLOS
WR2,INT,Wallowa River at rkm 32,WR2B0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Lostine River,GRLOS
YFK,INT,Yankee Fork Salmon River,YFKA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Yankee Fork,SRYFS
YFK,INT,Yankee Fork Salmon River,YFKB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Yankee Fork,SRYFS
